roll_no,grade,name,points,school,section,friends,updated_at
81,10,Jan Little,13,School 1,Section Section 1,"150, 367, 431, 525, 594, 748",2023-07-14 18:27:49.140753+00:00
82,11,Rae Mills,49,School 1,Section Section 2,"59, 271, 465, 482, 491, 663, 732, 794, 917",2023-06-28 08:04:07.322239+00:00
83,9,Retha Toy,79,School 1,Section Section 4,"74, 223, 575, 580, 714, 925",2023-06-11 15:39:49.551737+00:00
84,10,Dixie Beer,45,School 1,Section Section 3,"289, 335, 577, 662, 796, 884, 909",2023-05-28 00:15:50.723241+00:00
85,11,Rex Jacobi,7,School 1,Section Section 1,"320, 620, 636, 707, 908",2023-06-15 22:16:38.850472+00:00
86,11,Rene Smith,86,School 1,Section Section 1,"255, 303, 334, 895, 945",2023-07-05 10:04:22.033429+00:00
87,12,Vince Fay,74,School 1,Section Section 1,"115, 204, 390, 415, 448, 501, 624",2023-07-05 05:12:16.159986+00:00
88,9,Deja Lemke,5,School 1,Section Section 1,"55, 358, 406",2023-06-07 10:15:44.218328+00:00
89,10,Dovie Jast,34,School 1,Section Section 4,"24, 94, 372, 388, 520, 592, 756, 889",2023-06-24 13:23:27.412660+00:00
90,12,Lelah Wiza,28,School 1,Section Section 3,"18, 275, 399, 432, 711, 731, 845",2023-07-07 08:25:43.584258+00:00
91,12,Lia Ferry,91,School 1,Section Section 2,"80, 777, 784, 880",2023-07-03 13:58:59.768024+00:00
92,11,Lola Purdy,49,School 1,Section Section 1,"279, 504, 621, 763, 838, 947",2023-06-30 16:50:28.882676+00:00
93,12,Kira Walsh,28,School 1,Section Section 4,"105, 147, 362, 712, 905, 979",2023-06-21 00:35:57.123189+00:00
94,10,Cory Roob,16,School 1,Section Section 4,"89, 264, 629, 704, 788, 905",2023-06-16 22:51:48.249404+00:00
95,9,Jan Little,21,School 1,Section Section 3,"37, 418, 437, 809",2023-06-12 17:12:39.479001+00:00
96,10,Mia Mraz,44,School 1,Section Section 3,"673, 714, 715, 810",2023-07-25 09:10:15.605047+00:00
97,10,Wendy Mohr,11,School 1,Section Section 2,"8, 34, 220, 379, 416, 725",2023-07-25 01:41:18.834197+00:00
98,9,Rex Jacobi,58,School 1,Section Section 4,"116, 123, 168, 215, 228, 282, 619, 622, 665",2023-06-22 03:44:18.951802+00:00
99,11,Aylin Kihn,42,School 1,Section Section 3,"193, 557, 941, 983",2023-06-09 14:08:07.188720+00:00
100,10,Dean Lang,33,School 1,Section Section 1,"31, 130, 301, 351, 478, 667, 827",2023-07-01 23:14:47.314927+00:00
101,12,Lelah Wiza,76,School 2,Section Section 4,"190, 424, 733, 885",2023-07-18 19:52:37.544505+00:00
102,12,Sim Parker,13,School 2,Section Section 1,"10, 347, 436, 600, 821, 866, 913",2023-06-03 16:20:26.667182+00:00
103,12,Pat Hirthe,86,School 2,Section Section 2,"338, 354, 430, 894",2023-07-11 04:40:18.899476+00:00
104,9,Adan Rohan,72,School 2,Section Section 1,"154, 158, 169, 702, 822, 979",2023-06-22 04:56:33.025530+00:00
105,12,Dean Lang,69,School 2,Section Section 2,"93, 203, 434, 487, 494, 793, 794",2023-05-28 00:50:24.049914+00:00
106,10,Niko Bosco,22,School 2,Section Section 3,"49, 189, 417, 598, 891, 935, 973",2023-06-02 05:15:16.176411+00:00
107,9,Elena Lind,57,School 2,Section Section 4,"124, 189, 350, 421, 594, 778, 831",2023-06-14 03:30:43.255158+00:00
108,9,Mya Rath,60,School 2,Section Section 2,"79, 227",2023-06-28 04:04:50.475231+00:00
109,11,Mara Crona,20,School 2,Section Section 2,"27, 57, 457",2023-06-11 06:04:49.556778+00:00
110,10,Wendy Mohr,50,School 2,Section Section 2,"182, 585, 633, 676, 750",2023-07-08 06:43:14.729755+00:00
111,9,Roel Jones,52,School 2,Section Section 2,"195, 285, 308, 357, 668, 762, 771, 832, 932",2023-07-01 17:56:44.910486+00:00
112,12,Myra Runte,11,School 2,Section Section 4,"56, 215, 238, 247, 435, 519, 675, 712, 781",2023-05-28 08:53:57.027595+00:00
113,12,Dixie Beer,99,School 2,Section Section 4,"13, 141, 167",2023-06-21 04:00:33.163522+00:00
114,12,Dora O'Kon,97,School 2,Section Section 1,"55, 389, 445, 745, 874, 990",2023-05-27 09:07:49.280855+00:00
115,11,Janae Mohr,18,School 2,Section Section 4,"87, 127, 320, 341, 385, 562, 722, 874",2023-07-08 22:38:24.520380+00:00
116,11,Zane Runte,15,School 2,Section Section 1,"98, 245, 505",2023-06-02 06:41:46.691816+00:00
117,11,Rae Mills,66,School 2,Section Section 1,"235, 264, 269, 393, 543, 597, 608, 611, 645",2023-06-13 15:13:08.976377+00:00
118,11,Dee Rau,32,School 2,Section Section 1,"295, 365, 513, 517, 601, 603, 735, 931, 939",2023-06-18 17:28:08.205326+00:00
119,10,Sim Parker,28,School 2,Section Section 4,"71, 296, 378, 524, 622, 673, 709, 712, 738, 804",2023-07-07 20:04:51.305485+00:00
120,9,Dora O'Kon,93,School 2,Section Section 2,"334, 367, 478",2023-07-18 10:18:50.561041+00:00
121,10,Vita Price,80,School 2,Section Section 2,"68, 167, 212, 263, 863",2023-05-27 05:24:19.731884+00:00
122,10,Dovie Jast,46,School 2,Section Section 3,"147, 269, 454, 626, 993",2023-06-18 18:05:14.018032+00:00
123,11,Velva Rowe,27,School 2,Section Section 2,"98, 299, 541, 796, 848, 860",2023-05-29 07:31:53.141908+00:00
124,9,Vidal King,60,School 2,Section Section 2,"41, 68, 107, 337, 363, 555, 888",2023-07-02 15:00:26.373291+00:00
125,9,Angie Beer,78,School 2,Section Section 4,"213, 414",2023-07-19 18:55:42.602613+00:00
126,10,Mia Mraz,42,School 2,Section Section 2,"28, 194, 757, 816, 982",2023-07-01 08:18:40.680898+00:00
127,10,Josie Rau,54,School 2,Section Section 4,"115, 219",2023-06-22 15:45:08.957608+00:00
128,11,Kody Morar,94,School 2,Section Section 1,"24, 157, 252, 294, 303, 571, 644, 726, 812",2023-06-28 23:57:16.083762+00:00
129,10,Eva Hammes,49,School 2,Section Section 3,"190, 456, 631, 633, 691, 870, 930",2023-06-01 13:05:57.210576+00:00
130,10,Vidal King,20,School 2,Section Section 1,"100, 267, 295, 322, 898, 906",2023-06-05 19:45:18.291202+00:00
131,12,Ryley Beer,21,School 2,Section Section 4,"793, 913",2023-06-26 09:33:05.303331+00:00
132,9,Velva Lind,28,School 2,Section Section 2,"496, 742, 765, 969",2023-06-01 00:38:53.370487+00:00
133,12,Sim Parker,87,School 2,Section Section 4,"187, 478, 489, 499",2023-06-02 19:12:00.557124+00:00
134,10,Vince Fay,54,School 2,Section Section 2,"148, 199, 287, 411, 496, 523, 553, 684, 740, 855, 969",2023-06-26 01:40:53.684060+00:00
135,12,Rae Mills,37,School 2,Section Section 4,"35, 312, 414, 740, 882",2023-06-01 21:06:46.866597+00:00
136,10,Dixie Beer,69,School 2,Section Section 2,"76, 181, 250, 301, 417, 451, 511, 718",2023-07-18 07:31:50.981607+00:00
137,9,Janae Mohr,94,School 2,Section Section 3,"157, 522, 585",2023-06-24 09:11:21.120937+00:00
138,12,Era Heaney,13,School 2,Section Section 3,"57, 141, 440, 693, 759",2023-07-18 05:42:14.348357+00:00
139,12,Emil Hills,71,School 2,Section Section 3,"285, 480, 797",2023-05-28 16:12:49.373652+00:00
140,12,Russ Lang,92,School 2,Section Section 4,"14, 15, 347, 371, 701, 854",2023-06-16 18:15:20.544803+00:00
141,9,Fleta Batz,22,School 2,Section Section 2,"72, 113, 138, 197, 330, 379, 518, 550, 581, 701",2023-06-14 17:07:58.671254+00:00
142,12,Kylee Wolf,77,School 2,Section Section 1,"216, 222, 398, 515, 542, 645, 779, 953",2023-07-23 07:23:36.853643+00:00
143,12,Lacey Hahn,21,School 2,Section Section 1,"259, 381, 445, 541, 904",2023-07-16 20:23:15.082855+00:00
144,12,Neva Batz,23,School 2,Section Section 4,"14, 250, 368, 591, 653, 904, 957",2023-07-17 17:20:42.152665+00:00
145,12,Niko Bosco,5,School 2,Section Section 1,"211, 254, 310, 370, 591, 625",2023-06-29 17:45:46.232956+00:00
146,9,Avery Batz,77,School 2,Section Section 2,"280, 285, 523, 536, 655, 880",2023-06-26 14:12:49.348300+00:00
147,10,Kale Moen,59,School 2,Section Section 2,"93, 122, 207, 315, 1000",2023-07-14 19:34:27.484701+00:00
148,10,Jena Mraz,67,School 2,Section Section 4,"134, 459, 847, 858, 902, 918, 976",2023-06-27 09:14:18.556459+00:00
149,10,Lilla Beer,83,School 2,Section Section 4,"340, 353, 726",2023-06-12 10:25:29.685015+00:00
150,12,Ted Rogahn,53,School 2,Section Section 3,"46, 81, 304, 739, 771, 813, 858, 989",2023-06-12 20:37:30.865539+00:00
151,12,Dixie Beer,65,School 2,Section Section 2,"187, 379, 391, 446, 553, 680, 879",2023-07-03 10:08:58.093571+00:00
152,10,Kira Walsh,9,School 2,Section Section 4,"170, 354, 641, 674, 941, 954",2023-07-13 08:21:12.220405+00:00
153,9,Kody Morar,31,School 2,Section Section 3,"354, 461, 488, 661, 789",2023-07-10 18:37:54.346284+00:00
154,11,Luis Haley,17,School 2,Section Section 3,"13, 48, 104, 545",2023-06-06 07:09:19.415380+00:00
155,10,Sim Parker,84,School 2,Section Section 4,"47, 59, 169, 399, 500, 627, 630, 669, 700, 1000",2023-06-15 16:37:34.497525+00:00
156,9,Vida Wyman,68,School 2,Section Section 2,"426, 484, 645, 786, 984",2023-07-19 05:09:41.521634+00:00
157,9,Velva Rowe,65,School 2,Section Section 3,"128, 137, 269, 575, 587, 637, 674, 871, 918",2023-05-29 02:48:24.592606+00:00
158,11,Dovie Jast,47,School 2,Section Section 2,"104, 535, 794, 976",2023-06-05 20:07:49.718070+00:00
159,12,Dovie Jast,100,School 2,Section Section 2,"241, 252, 384, 445, 489",2023-06-30 11:24:36.787854+00:00
160,10,Adan Rohan,7,School 2,Section Section 2,"37, 474, 590",2023-06-07 18:17:28.921749+00:00
161,10,Eva Lakin,24,School 2,Section Section 2,"274, 389, 466, 661, 806, 900",2023-05-29 21:58:30.051018+00:00
162,10,Neva Batz,81,School 2,Section Section 2,"412, 462, 676, 872",2023-06-28 11:33:16.280237+00:00
163,11,Luis Haley,60,School 2,Section Section 2,"59, 409, 649, 858, 908, 986",2023-07-12 08:02:08.407538+00:00
164,10,Tom Lakin,95,School 2,Section Section 2,"40, 51, 223, 320, 606, 623",2023-05-31 13:50:40.634987+00:00
165,12,Ayden Moen,8,School 2,Section Section 1,"218, 299, 518, 644, 707, 729, 922",2023-06-15 05:14:43.703887+00:00
166,12,Zane Runte,37,School 2,Section Section 2,"25, 193, 335, 546, 844",2023-07-24 10:13:05.722623+00:00
167,12,Mina Feil,97,School 2,Section Section 1,"113, 121, 357, 376, 860, 964",2023-05-31 01:31:08.809979+00:00
168,12,Vida Wyman,2,School 2,Section Section 4,"41, 98, 251, 262, 340, 412, 556, 812, 837, 954",2023-07-06 07:41:54.937949+00:00
169,9,Dixie Beer,91,School 2,Section Section 4,"68, 104, 155, 303, 401, 729, 764, 795, 945",2023-07-12 22:02:57.062050+00:00
170,10,Devin Mann,66,School 2,Section Section 1,"42, 152, 353, 448, 578, 724, 756",2023-06-24 00:10:12.291057+00:00
171,11,Tom Lakin,37,School 2,Section Section 4,"310, 431, 473, 787, 803, 846, 887",2023-05-27 16:25:00.291920+00:00
172,10,Eva Hammes,80,School 2,Section Section 1,"400, 568, 920",2023-06-03 05:02:57.290615+00:00
173,10,Ottis Torp,57,School 2,Section Section 1,282,2023-06-16 08:28:21.291344+00:00
174,12,Dena Purdy,25,School 2,Section Section 3,"14, 390, 660, 704, 829",2023-06-09 00:37:28.490023+00:00
175,10,Cora Mills,41,School 2,Section Section 1,"31, 272, 278, 518, 871, 946",2023-07-21 19:25:41.558941+00:00
176,9,Mya Rath,73,School 2,Section Section 4,"70, 487, 535, 557, 590, 614, 922",2023-07-21 08:04:27.629816+00:00
177,9,Dora O'Kon,37,School 2,Section Section 4,"466, 486, 517, 598, 757",2023-06-14 21:02:27.632310+00:00
178,9,Buck Auer,75,School 2,Section Section 3,"33, 247, 414, 671, 843, 977",2023-07-20 02:57:16.677770+00:00
179,11,Mia Mraz,25,School 2,Section Section 2,"233, 421, 559, 663, 964, 969, 984",2023-07-04 22:19:44.685259+00:00
180,11,Mia Mraz,27,School 2,Section Section 3,"204, 247, 391, 664",2023-07-07 11:03:37.686684+00:00
181,9,Rex Jacobi,58,School 2,Section Section 3,"136, 586, 880, 915, 999",2023-06-03 21:42:07.744755+00:00
182,12,Avery Batz,99,School 2,Section Section 3,"23, 69, 110, 192, 254, 292, 477, 665, 907, 965, 978",2023-06-16 13:16:58.831899+00:00
183,10,Lura Ortiz,80,School 2,Section Section 2,"3, 70, 574, 618, 715, 743, 825, 884, 972",2023-05-29 11:13:49.832715+00:00
184,10,Dee Hand,38,School 2,Section Section 2,"37, 255, 274, 393, 409, 473, 672, 698, 770, 884, 928",2023-07-22 11:23:50.875029+00:00
185,12,Wendy Mohr,8,School 2,Section Section 3,"44, 283, 652, 682, 885, 887",2023-05-31 06:31:37.062679+00:00
186,12,Retha Toy,12,School 2,Section Section 4,"248, 410, 469, 487, 521, 572, 608, 612",2023-07-11 02:02:58.120877+00:00
187,10,Velva Lind,14,School 2,Section Section 2,"133, 151, 271, 598, 898, 959",2023-07-20 22:46:47.153775+00:00
188,12,Kale Moen,0,School 2,Section Section 4,"26, 223, 314, 352, 457, 867, 934",2023-05-28 21:49:02.162007+00:00
189,12,Neva Batz,0,School 2,Section Section 1,"106, 107, 227, 303, 344, 364, 534, 727",2023-06-05 09:16:05.259743+00:00
190,9,Cory Roob,34,School 2,Section Section 3,"101, 129, 240, 410, 446, 915",2023-06-04 03:29:12.374322+00:00
191,10,Pat Hirthe,22,School 2,Section Section 2,"321, 349, 457, 469, 511",2023-07-11 12:25:35.398773+00:00
192,10,Lacey Hahn,46,School 2,Section Section 2,"182, 372, 728, 802, 926, 996",2023-05-28 20:55:19.403214+00:00
193,9,Ayden Moen,68,School 2,Section Section 1,"99, 166, 450, 502, 680",2023-06-10 00:07:16.605118+00:00
194,10,Zane Runte,70,School 2,Section Section 3,"126, 235, 286, 389, 977",2023-06-11 04:06:47.630550+00:00
195,11,Jena Mraz,81,School 2,Section Section 4,"111, 286, 348",2023-07-11 16:38:47.658668+00:00
196,12,Cale Lang,43,School 2,Section Section 3,"330, 402, 452, 778, 976",2023-07-25 18:15:44.678353+00:00
197,12,Cora Mills,31,School 2,Section Section 1,"141, 213, 351, 463, 579, 724, 993",2023-06-14 09:43:42.861644+00:00
198,11,Judy Hills,89,School 2,Section Section 3,"68, 310, 833, 968, 978",2023-06-20 17:20:35.988623+00:00
199,10,Retha Toy,21,School 2,Section Section 3,"36, 134, 244, 245, 268, 487, 730, 740",2023-07-05 02:07:24.991178+00:00
200,12,Rene Smith,25,School 2,Section Section 2,"277, 452, 610, 874, 902",2023-06-14 09:43:52.139565+00:00
201,11,Vida Wyman,4,School 3,Section Section 1,"283, 410, 622, 629, 697, 855, 861",2023-07-12 07:02:04.195273+00:00
202,10,Luis Haley,100,School 3,Section Section 3,"589, 643, 644, 673, 840, 849, 923, 951",2023-06-28 12:09:18.256731+00:00
203,9,Vidal King,18,School 3,Section Section 4,"105, 491, 676, 719, 854, 927, 951",2023-06-15 18:02:43.415153+00:00
204,12,Tom Lakin,92,School 3,Section Section 4,"87, 180, 445, 734, 972",2023-06-04 15:51:09.644666+00:00
205,9,Ari Feeney,88,School 3,Section Section 4,"18, 580",2023-05-30 13:45:50.874939+00:00
206,12,Nova Haag,52,School 3,Section Section 2,"258, 384, 553, 586, 974",2023-07-16 19:59:22.101602+00:00
207,9,Dale Rohan,4,School 3,Section Section 2,"53, 147, 215, 374, 832, 962, 972",2023-07-14 12:01:25.173192+00:00
208,12,Lola Purdy,42,School 3,Section Section 2,"225, 339, 685, 706, 889",2023-06-16 14:08:51.250900+00:00
209,9,Felipa Von,15,School 3,Section Section 3,"54, 398, 401, 466, 769, 794",2023-07-24 01:26:18.481317+00:00
210,10,Ted Rogahn,99,School 3,Section Section 2,"250, 480, 609, 646, 861, 889",2023-07-05 22:11:38.479898+00:00
211,10,Wade Ebert,80,School 3,Section Section 3,"145, 334, 472, 662, 667, 760, 855",2023-06-22 14:18:33.518918+00:00
212,9,Lacey Hahn,33,School 3,Section Section 3,"1, 64, 67, 121, 254, 418, 726, 877",2023-06-16 19:02:07.521727+00:00
213,10,Fern Moen,32,School 3,Section Section 4,"125, 197, 622, 663, 827, 924, 941",2023-06-27 10:50:03.518183+00:00
214,9,Eva Hammes,83,School 3,Section Section 2,"80, 471, 501, 557, 677",2023-05-27 17:59:48.528190+00:00
215,12,Lelah Wiza,18,School 3,Section Section 3,"98, 112, 207, 296, 339, 473, 475, 699, 745, 806, 869",2023-05-27 00:02:34.673177+00:00
216,9,Mina Feil,41,School 3,Section Section 4,"142, 348, 358, 760, 783, 848, 874, 992",2023-06-04 22:49:39.694576+00:00
217,10,Devin Mann,88,School 3,Section Section 1,"807, 809",2023-07-01 17:39:10.828002+00:00
218,12,Guy Ward,82,School 3,Section Section 3,"165, 367, 522, 566, 907, 964",2023-07-06 23:59:03.107229+00:00
219,9,Vidal King,10,School 3,Section Section 2,"4, 11, 127, 344, 689, 914",2023-06-10 04:29:00.234861+00:00
220,11,Wendy Mohr,9,School 3,Section Section 4,"97, 356",2023-07-01 05:33:25.302625+00:00
221,10,Lloyd Koch,57,School 3,Section Section 3,"59, 370, 454, 676, 715",2023-06-05 15:20:02.429552+00:00
222,9,Kylee Wolf,3,School 3,Section Section 2,"142, 485, 576",2023-06-28 20:26:31.430544+00:00
223,10,Roel Jones,4,School 3,Section Section 3,"83, 164, 188, 302, 464, 581, 609, 741, 790, 840, 932",2023-07-09 10:27:10.533773+00:00
